identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
dokdonella spp.	0.0052397170552790149331936100	0	0.0035734705546026300743281900	0.003355554561317167017135700	0.0047833157945087534679039500	0.0046623306991164883325174300	1.0232601113343958607627099100	0.0034634433553839226959443100
hyphomicrobium spp.	0	0	0.0035734705546026300743281900	0.0022370363742114446780904700	0	0	0.2494629616797172753100963200	0.0034634433553839226959443100
paracoccus denitrificans	0	0	0	0.003355554561317167017135700	0.0023916578972543767339519800	0.6154276522833764598923001600	0	0
enterococcus faecalis	2.7194131516898087503274823200	1.106088294700394344522458400	82.35062893081761006289308176	81.07243523779696657867656928	0.6218310532861379508275136300	0.3520059677832948691050656200	0.7599380962280276257131637900	0.4467841928445260277768157100
mucor	0.068116321718627194131516900	0	0	0.0011185181871057223390452300	0.1004496316846838228259829700	0	0	0
candidatus soleaferrea	0	0	0	0.0011185181871057223390452300	0	0	0.1755480100709121566996974100	0
verrucomicrobium	0	0	0.0250142938822184105202973100	0	0	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	0.0116558267477912208312935600	0	0
burkholderia ubonensis	0.0104794341105580298663872200	0.0384726363374050206790420300	0	0	0	0	0	0.0034634433553839226959443100
adhaeribacter sp.	0	0	0	0.0011185181871057223390452300	0	0.0536168030398396158239503900	0	0
devosia submarina	0	0	0	0	0	0.0069934960486747324987761400	0.0023098422377751599565749700	0.0103903300661517680878329200
aminobacter niigataensis	0.0576368876080691642651296800	0	0	0	0	0.0419609762920483949926568300	0.0923936895110063982629986400	0
xanthomonadaceae	0	0	0	0.0011185181871057223390452300	0	0	0.3141385443374217540941953700	0
fluviicola spp.	0	0	0.0357347055460263007432818800	0	0	0	0	0
kaistobacter spp.	0	0.0288544772530537655092815200	0	0.0011185181871057223390452300	0.1219745527599732134315507500	0	0	0
modestobacter sp.	0	0.0096181590843512551697605100	0	0.0078296273097400563733166300	0	0.0023311653495582441662587100	0.006929526713325479869724900	0.3151733453399369653309320100
altererythrobacter spp.	0	0	0	0	0.0143499473835262604037118500	0.0256428188451406858288458400	0	0
enterococcus	0.0052397170552790149331936100	0	0.7790165809033733562035448800	0.823229385709811641537291400	0.0023916578972543767339519800	0.0046623306991164883325174300	0.2263645393019656757443466600	0.0138537734215356907837772300
luteimonas sp.	0	0	0.0393081761006289308176100600	0	0	0.0023311653495582441662587100	0	0
cytophagaceae	0	0	0	0	0	0.0093246613982329766650348500	0	0
